Caller	Callee
org.apache.commons.jxpath.ri.model.beans.BeanPropertyPointer.getPropertyDescriptor()	org.apache.commons.jxpath.ri.model.beans.BeanPropertyPointer.getPropertyDescriptors()
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl.iteratePointers(String,Expression)	org.apache.commons.jxpath.ri.compiler.Expression.iteratePointers(EvalContext)
org.apache.commons.jxpath.servlet.JXPathServletContextTest.testPageContext()	org.apache.commons.jxpath.JXPathContext.setValue(String,Object)
org.apache.commons.jxpath.servlet.HttpSessionHandler.getProperty(Object,String)	org.apache.commons.jxpath.servlet.HttpSessionAndServletContext.getSession()
org.apache.commons.jxpath.ri.compiler.CoreFunction.computeValue(EvalContext)	org.apache.commons.jxpath.ri.compiler.CoreFunction.functionEndsWith(EvalContext)
org.apache.commons.jxpath.ri.compiler.LocationPath.compute(EvalContext)	org.apache.commons.jxpath.ri.compiler.Path.evalSteps(EvalContext)
org.apache.commons.jxpath.ri.model.beans.CollectionPointer.getImmediateNode()	org.apache.commons.jxpath.util.ValueUtils.getValue(Object)
org.apache.commons.jxpath.ri.compiler.CoreFunction.functionKey(EvalContext)	org.apache.commons.jxpath.ri.model.NodePointer.getValue()
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.indexFromPredicate(EvalContext,Expression)	org.apache.commons.jxpath.ri.EvalContext.getSingleNodePointer()
org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanPropertyPointer.getImmediateNode()	org.apache.commons.jxpath.util.ValueUtils.isCollection(Object)
org.apache.commons.jxpath.ri.model.JXPath151Test.setUp()	org.apache.commons.jxpath.JXPathContext.setLocale(Locale)
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa12_0(long,long,long,long)	org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjStartNfa_0(int,long,long)
org.apache.commons.jxpath.ri.compiler.CoreFunction.functionLocalName(EvalContext)	org.apache.commons.jxpath.ri.compiler.CoreFunction.getArg1()
org.apache.commons.jxpath.ri.compiler.CoreFunction.functionLang(EvalContext)	org.apache.commons.jxpath.ri.model.NodePointer.isLanguage(String)
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa11_0(long,long,long,long)	org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjStopStringLiteralDfa_0(int,long,long)
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testCollectionMethodCall()	org.apache.commons.jxpath.JXPathContext.getVariables()
org.apache.commons.jxpath.ri.compiler.CoreFunction.computeValue(EvalContext)	org.apache.commons.jxpath.ri.compiler.CoreFunction.functionSubstring(EvalContext)
org.apache.commons.jxpath.ri.model.NodePointer.getAbstractFactory(JXPathContext)	org.apache.commons.jxpath.ri.model.NodePointer.asPath()
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testCreatePathAndSetValueCollectionElement()	org.apache.commons.jxpath.TestBean.setMap(Map)
org.apache.commons.jxpath.util.ValueUtils.setValue(Object,PropertyDescriptor,int,Object)	org.apache.commons.jxpath.util.ValueUtils.getValue(Object,PropertyDescriptor)
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_111()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_scan_token(int)
org.apache.commons.jxpath.ri.model.MixedModelTest.testCollectionPointer()	org.apache.commons.jxpath.JXPathContext.getValue(String)
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_22()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_66()
org.apache.commons.jxpath.ri.model.jdom.JDOMAttributePointer.setValue(Object)	org.apache.commons.jxpath.util.TypeUtils.convert(Object,Class)
org.apache.commons.jxpath.ri.compiler.TestFunctions.path(ExpressionContext)	org.apache.commons.jxpath.Pointer.asPath()
org.apache.commons.jxpath.ri.model.VariablePointer.createChild(JXPathContext,QName,int)	org.apache.commons.jxpath.ri.model.VariablePointer.createCollection(JXPathContext,int)
org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest.testGetElementDescendantOrSelf()	org.apache.commons.jxpath.JXPathContext.getRelativeContext(Pointer)
org.apache.commons.jxpath.util.BasicTypeConverterTest.testNodeSetToInteger()	org.apache.commons.jxpath.util.BasicTypeConverterTest.assertConversion(Object,Class,Object)
org.apache.commons.jxpath.ri.parser.XPathParser.PrimaryExpr()	org.apache.commons.jxpath.ri.parser.XPathParser.FunctionCall()
org.apache.commons.jxpath.JXPathTestCase.assertXPathValueType(JXPathContext,String,Class)	org.apache.commons.jxpath.JXPathContext.setLenient(boolean)
org.apache.commons.jxpath.ri.compiler.CoreFunction.functionTranslate(EvalContext)	org.apache.commons.jxpath.ri.compiler.CoreFunction.assertArgCount(int)
src\main\java\org\apache\commons\jxpath\ri\model\dom\DOMNodePointer.java::testNode(Node,NodeTest)	org.apache.commons.jxpath.ri.QName.getPrefix()
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_27()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_scan_token(int)
org.apache.commons.jxpath.issues.JXPath177Test.doTest(String,String)	org.apache.commons.jxpath.JXPathContext.setVariables(Variables)
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.doPredicateName(EvalContext,NodePointer,Step[],int,Expression[],int)	org.apache.commons.jxpath.ri.model.NodePointer.clone()
org.apache.commons.jxpath.ri.parser.XPathParser.QName_Without_CoreFunctions()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_consume_token(int)
org.apache.commons.jxpath.ri.model.XMLModelTestCase.testNamespaceMapping()	org.apache.commons.jxpath.JXPathContext.registerNamespace(String,String)
org.apache.commons.jxpath.ri.compiler.CoreFunction.functionKey(EvalContext)	org.apache.commons.jxpath.ri.compiler.Expression.compute(EvalContext)
org.apache.commons.jxpath.ri.axes.PrecedingOrFollowingContext.nextNode()	org.apache.commons.jxpath.ri.model.NodePointer.childIterator(NodeTest,boolean,NodePointer)
org.apache.commons.jxpath.ri.axes.UnionContext.setPosition(int)	org.apache.commons.jxpath.ri.EvalContext.sortPointers(List)
org.apache.commons.jxpath.ri.compiler.VariableTest.testCreatePathExpandCollection()	org.apache.commons.jxpath.Variables.declareVariable(String,Object)
org.apache.commons.jxpath.ri.axes.PredicateContext.reset()	org.apache.commons.jxpath.ri.EvalContext.reset()
src\main\java\org\apache\commons\jxpath\ri\model\dom\DOMAttributeIterator.java::getAttribute(Element,QName)	org.apache.commons.jxpath.ri.QName.getPrefix()
org.apache.commons.jxpath.ri.model.VariablePointer.createChild(JXPathContext,QName,int,Object)	org.apache.commons.jxpath.ri.model.VariablePointer.createCollection(JXPathContext,int)
org.apache.commons.jxpath.xml.DocumentContainer.parseXML(InputStream)	org.apache.commons.jxpath.xml.XMLParser2.isIgnoringComments()
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_60()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_scan_token(int)
org.apache.commons.jxpath.ri.model.beans.BeanPropertyPointer.getPropertyDescriptors()	org.apache.commons.jxpath.JXPathBeanInfo.getPropertyDescriptors()
org.apache.commons.jxpath.ri.model.BeanModelTestCase.testBooleanPredicate()	org.apache.commons.jxpath.JXPathContext.getVariables()
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.getNodeIterator(EvalContext,NodePointer,Step)	org.apache.commons.jxpath.ri.model.NodePointer.childIterator(NodeTest,boolean,NodePointer)
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_59()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_scan_token(int)
org.apache.commons.jxpath.ri.model.MixedModelTest.setUp()	org.apache.commons.jxpath.Variables.declareVariable(String,Object)
org.apache.commons.jxpath.ri.model.BeanModelTestCase.testRemoveAllMapEntries()	org.apache.commons.jxpath.JXPathContext.removeAll(String)
org.apache.commons.jxpath.ri.model.VariablePointer.getImmediateNode()	org.apache.commons.jxpath.util.ValueUtils.getValue(Object,int)
org.apache.commons.jxpath.ri.model.VariablePointer.testNode(NodeTest)	org.apache.commons.jxpath.ri.model.NodePointer.getValuePointer()
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testStaticMethodLookupWithConversion()	org.apache.commons.jxpath.Function.invoke(ExpressionContext,Object[])
org.apache.commons.jxpath.util.BasicTypeConverter.convert(Object,Class)	org.apache.commons.jxpath.NodeSet.getValues()
org.apache.commons.jxpath.ri.compiler.Expression.iterate(EvalContext)	org.apache.commons.jxpath.ri.compiler.Expression.compute(EvalContext)
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_20()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_64()
org.apache.commons.jxpath.ri.parser.XPathParser.QName_Without_CoreFunctions()	org.apache.commons.jxpath.ri.Compiler.qname(String,String)
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testMapOfMaps()	org.apache.commons.jxpath.TestBean.getMap()
org.apache.commons.jxpath.ri.compiler.CoreFunction.computeValue(EvalContext)	org.apache.commons.jxpath.ri.compiler.CoreFunction.functionBoolean(EvalContext)
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa19_0(long,long)	org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa20_0(long,long)
org.apache.commons.jxpath.ri.model.beans.PropertyOwnerPointer.compareChildNodePointers(NodePointer,NodePointer)	org.apache.commons.jxpath.ri.model.NodePointer.getIndex()
org.apache.commons.jxpath.issues.JXPath149Test.testComplexOperationWithVariables()	org.apache.commons.jxpath.JXPathContext.newContext(Object)
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.getNextToken()	org.apache.commons.jxpath.ri.parser.SimpleCharStream.readChar()
org.apache.commons.jxpath.JXPathContext.selectNodes(String)	org.apache.commons.jxpath.JXPathContext.iteratePointers(String)
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_123()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_scan_token(int)
org.apache.commons.jxpath.ri.model.XMLModelTestCase.testNodes()	org.apache.commons.jxpath.JXPathContext.getPointer(String)
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer.getNamespaceResolver()	org.apache.commons.jxpath.ri.NamespaceResolver.setNamespaceContextPointer(NodePointer)
org.apache.commons.jxpath.ri.compiler.CoreFunction.computeValue(EvalContext)	org.apache.commons.jxpath.ri.compiler.CoreFunction.functionLang(EvalContext)
org.apache.commons.jxpath.ri.model.beans.BeanPropertyPointer.remove()	org.apache.commons.jxpath.ri.model.beans.BeanPropertyPointer.getBaseValue()
