File Directory	Function Name	Function Signature	Function Starting Line No	Function Ending Line No	Cyclomatic
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	valueSeparator	org.apache.commons.cli.Builder.valueSeparator()	245	247	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	valueSeparator	org.apache.commons.cli.Builder.valueSeparator(char)	269	272	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	builder	org.apache.commons.cli.Option.builder()	293	295	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	builder	org.apache.commons.cli.Option.builder(String)	305	307	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	acceptsArg	org.apache.commons.cli.Option.acceptsArg()	410	412	5
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	add	org.apache.commons.cli.Option.add(String)	422	429	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	addValue	org.apache.commons.cli.Option.addValue(String)	441	444	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	addValueForProcessing	org.apache.commons.cli.Option.addValueForProcessing(String)	451	456	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	clearValues	org.apache.commons.cli.Option.clearValues()	464	466	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	clone	org.apache.commons.cli.Option.clone()	478	486	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	equals	org.apache.commons.cli.Option.equals(Object)	489	498	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getArgName	org.apache.commons.cli.Option.getArgName()	505	507	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getArgs	org.apache.commons.cli.Option.getArgs()	522	524	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getDescription	org.apache.commons.cli.Option.getDescription()	531	533	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getId	org.apache.commons.cli.Option.getId()	541	543	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getKey	org.apache.commons.cli.Option.getKey()	550	553	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getLongOpt	org.apache.commons.cli.Option.getLongOpt()	560	562	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getOpt	org.apache.commons.cli.Option.getOpt()	572	574	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getType	org.apache.commons.cli.Option.getType()	581	583	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getValue	org.apache.commons.cli.Option.getValue()	590	592	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getValue	org.apache.commons.cli.Option.getValue(int)	603	605	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getValue	org.apache.commons.cli.Option.getValue(String)	614	618	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getValues	org.apache.commons.cli.Option.getValues()	625	627	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getValueSeparator	org.apache.commons.cli.Option.getValueSeparator()	634	636	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	getValuesList	org.apache.commons.cli.Option.getValuesList()	643	645	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	hasArg	org.apache.commons.cli.Option.hasArg()	652	654	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	hasArgName	org.apache.commons.cli.Option.hasArgName()	661	663	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	hasArgs	org.apache.commons.cli.Option.hasArgs()	670	672	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	hashCode	org.apache.commons.cli.Option.hashCode()	675	677	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	hasLongOpt	org.apache.commons.cli.Option.hasLongOpt()	684	686	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	hasNoValues	org.apache.commons.cli.Option.hasNoValues()	693	695	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	hasOptionalArg	org.apache.commons.cli.Option.hasOptionalArg()	700	702	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	hasValueSeparator	org.apache.commons.cli.Option.hasValueSeparator()	710	712	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	isRequired	org.apache.commons.cli.Option.isRequired()	719	721	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	processValue	org.apache.commons.cli.Option.processValue(String)	732	761	5
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	requiresArg	org.apache.commons.cli.Option.requiresArg()	769	777	5
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	setArgName	org.apache.commons.cli.Option.setArgName(String)	784	786	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	setArgs	org.apache.commons.cli.Option.setArgs(int)	793	795	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	setDescription	org.apache.commons.cli.Option.setDescription(String)	803	805	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	setLongOpt	org.apache.commons.cli.Option.setLongOpt(String)	812	814	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	setOptionalArg	org.apache.commons.cli.Option.setOptionalArg(boolean)	821	823	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	setRequired	org.apache.commons.cli.Option.setRequired(boolean)	830	832	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	setType	org.apache.commons.cli.Option.setType(Class<?>)	840	842	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	setType	org.apache.commons.cli.Option.setType(Object)	855	857	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	setValueSeparator	org.apache.commons.cli.Option.setValueSeparator(char)	864	866	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Option.java	toString	org.apache.commons.cli.Option.toString()	874	900	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	create	org.apache.commons.cli.OptionBuilder.create()	72	79	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	create	org.apache.commons.cli.OptionBuilder.create(char)	88	90	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	create	org.apache.commons.cli.OptionBuilder.create(String)	99	120	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	hasArg	org.apache.commons.cli.OptionBuilder.hasArg()	127	131	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	hasArg	org.apache.commons.cli.OptionBuilder.hasArg(boolean)	139	143	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	hasArgs	org.apache.commons.cli.OptionBuilder.hasArgs()	150	154	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	hasArgs	org.apache.commons.cli.OptionBuilder.hasArgs(int)	162	166	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	hasOptionalArg	org.apache.commons.cli.OptionBuilder.hasOptionalArg()	173	178	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	hasOptionalArgs	org.apache.commons.cli.OptionBuilder.hasOptionalArgs()	185	190	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	hasOptionalArgs	org.apache.commons.cli.OptionBuilder.hasOptionalArgs(int)	198	203	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	isRequired	org.apache.commons.cli.OptionBuilder.isRequired()	210	214	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	isRequired	org.apache.commons.cli.OptionBuilder.isRequired(boolean)	222	226	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	reset	org.apache.commons.cli.OptionBuilder.reset()	231	240	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	withArgName	org.apache.commons.cli.OptionBuilder.withArgName(String)	248	252	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	withDescription	org.apache.commons.cli.OptionBuilder.withDescription(String)	260	264	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	withLongOpt	org.apache.commons.cli.OptionBuilder.withLongOpt(String)	272	276	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	withType	org.apache.commons.cli.OptionBuilder.withType(Class<?>)	285	289	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	withType	org.apache.commons.cli.OptionBuilder.withType(Object)	302	304	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	withValueSeparator	org.apache.commons.cli.OptionBuilder.withValueSeparator()	321	325	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionBuilder.java	withValueSeparator	org.apache.commons.cli.OptionBuilder.withValueSeparator(char)	345	349	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionGroup.java	addOption	org.apache.commons.cli.OptionGroup.addOption(Option)	48	54	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionGroup.java	getNames	org.apache.commons.cli.OptionGroup.getNames()	59	62	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionGroup.java	getOptions	org.apache.commons.cli.OptionGroup.getOptions()	67	70	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionGroup.java	getSelected	org.apache.commons.cli.OptionGroup.getSelected()	75	77	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionGroup.java	isRequired	org.apache.commons.cli.OptionGroup.isRequired()	84	86	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionGroup.java	setRequired	org.apache.commons.cli.OptionGroup.setRequired(boolean)	91	93	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionGroup.java	setSelected	org.apache.commons.cli.OptionGroup.setSelected(Option)	101	115	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionGroup.java	toString	org.apache.commons.cli.OptionGroup.toString()	123	154	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	addOption	org.apache.commons.cli.Options.addOption(Option)	63	82	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	addOption	org.apache.commons.cli.Options.addOption(String, boolean, String)	96	99	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	addOption	org.apache.commons.cli.Options.addOption(String, String)	113	116	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	addOption	org.apache.commons.cli.Options.addOption(String, String, boolean, String)	131	134	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	addOptionGroup	org.apache.commons.cli.Options.addOptionGroup(OptionGroup)	142	158	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	addRequiredOption	org.apache.commons.cli.Options.addRequiredOption(String, String, boolean, String)	182	187	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	getMatchingOptions	org.apache.commons.cli.Options.getMatchingOptions(String)	196	213	5
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	getOption	org.apache.commons.cli.Options.getOption(String)	225	230	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	getOptionGroup	org.apache.commons.cli.Options.getOptionGroup(Option)	238	240	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	getOptionGroups	org.apache.commons.cli.Options.getOptionGroups()	247	249	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	getOptions	org.apache.commons.cli.Options.getOptions()	256	258	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	getRequiredOptions	org.apache.commons.cli.Options.getRequiredOptions()	265	267	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	hasLongOption	org.apache.commons.cli.Options.hasLongOption(String)	276	280	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	hasOption	org.apache.commons.cli.Options.hasOption(String)	288	292	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	hasShortOption	org.apache.commons.cli.Options.hasShortOption(String)	301	305	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	helpOptions	org.apache.commons.cli.Options.helpOptions()	312	314	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Options.java	toString	org.apache.commons.cli.Options.toString()	322	332	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionValidator.java	isValidChar	org.apache.commons.cli.OptionValidator.isValidChar(char)	32	34	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionValidator.java	isValidOpt	org.apache.commons.cli.OptionValidator.isValidOpt(char)	42	44	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\OptionValidator.java	validate	org.apache.commons.cli.OptionValidator.validate(String)	60	82	10
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	checkRequiredOptions	org.apache.commons.cli.Parser.checkRequiredOptions()	48	53	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	flatten	org.apache.commons.cli.Parser.flatten(Options, String[], boolean)	64	64	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	getOptions	org.apache.commons.cli.Parser.getOptions()	71	73	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	getRequiredOptions	org.apache.commons.cli.Parser.getRequiredOptions()	80	82	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	parse	org.apache.commons.cli.Parser.parse(Options, String[])	93	95	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	parse	org.apache.commons.cli.Parser.parse(Options, String[], boolean)	109	111	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	parse	org.apache.commons.cli.Parser.parse(Options, String[], Properties)	124	126	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	parse	org.apache.commons.cli.Parser.parse(Options, String[], Properties, boolean)	144	224	20
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	processArgs	org.apache.commons.cli.Parser.processArgs(Option, ListIterator<String>)	235	258	11
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	processOption	org.apache.commons.cli.Parser.processOption(String, ListIterator<String>)	269	290	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	processProperties	org.apache.commons.cli.Parser.processProperties(Properties)	298	337	19
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	setOptions	org.apache.commons.cli.Parser.setOptions(Options)	344	347	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Parser.java	updateRequiredOptions	org.apache.commons.cli.Parser.updateRequiredOptions(Option)	354	372	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\PatternOptionBuilder.java	getValueClass	org.apache.commons.cli.PatternOptionBuilder.getValueClass(char)	112	135	19
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\PatternOptionBuilder.java	isValueCode	org.apache.commons.cli.PatternOptionBuilder.isValueCode(char)	143	145	10
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\PatternOptionBuilder.java	parsePattern	org.apache.commons.cli.PatternOptionBuilder.parsePattern(String)	153	191	8
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\PosixParser.java	burstToken	org.apache.commons.cli.PosixParser.burstToken(String, boolean)	65	86	9
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\PosixParser.java	flatten	org.apache.commons.cli.PosixParser.flatten(Options, String[], boolean)	119	180	23
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\PosixParser.java	gobble	org.apache.commons.cli.PosixParser.gobble(Iterator<String>)	187	193	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\PosixParser.java	init	org.apache.commons.cli.PosixParser.init()	199	202	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\PosixParser.java	processNonOptionToken	org.apache.commons.cli.PosixParser.processNonOptionToken(String, boolean)	210	217	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\PosixParser.java	processOptionToken	org.apache.commons.cli.PosixParser.processOptionToken(String, boolean)	232	242	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	createClass	org.apache.commons.cli.TypeHandler.createClass(String)	39	45	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	createDate	org.apache.commons.cli.TypeHandler.createDate(String)	56	58	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	createFile	org.apache.commons.cli.TypeHandler.createFile(String)	66	68	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	createFiles	org.apache.commons.cli.TypeHandler.createFiles(String)	79	83	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	createNumber	org.apache.commons.cli.TypeHandler.createNumber(String)	92	101	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	createObject	org.apache.commons.cli.TypeHandler.createObject(String)	110	124	7
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	createURL	org.apache.commons.cli.TypeHandler.createURL(String)	133	139	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	createValue	org.apache.commons.cli.TypeHandler.createValue(String, Class<T>)	151	180	20
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	createValue	org.apache.commons.cli.TypeHandler.createValue(String, Object)	190	192	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\TypeHandler.java	openFile	org.apache.commons.cli.TypeHandler.openFile(String)	201	207	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\UnrecognizedOptionException.java	getOption	org.apache.commons.cli.UnrecognizedOptionException.getOption()	60	62	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Util.java	stripLeadingAndTrailingQuotes	org.apache.commons.cli.Util.stripLeadingAndTrailingQuotes(String)	36	43	5
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\Util.java	stripLeadingHyphens	org.apache.commons.cli.Util.stripLeadingHyphens(String)	51	63	7
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\test\java\org\apache\commons\cli\AbstractParserTestCase.java	parse	org.apache.commons.cli.AbstractParserTestCase.parse(CommandLineParser, Options, String[], Properties)	43	51	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\test\java\org\apache\commons\cli\AbstractParserTestCase.java	setUp	org.apache.commons.cli.AbstractParserTestCase.setUp()	54	61	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\test\java\org\apache\commons\cli\AbstractParserTestCase.java	testAmbiguousArgParsing	org.apache.commons.cli.AbstractParserTestCase.testAmbiguousArgParsing()	64	69	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\test\java\org\apache\commons\cli\AbstractParserTestCase.java	testAmbiguousLongWithoutEqualSingleDash	org.apache.commons.cli.AbstractParserTestCase.testAmbiguousLongWithoutEqualSingleDash()	72	84	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\test\java\org\apache\commons\cli\AbstractParserTestCase.java	testAmbiguousLongWithoutEqualSingleDash2	org.apache.commons.cli.AbstractParserTestCase.testAmbiguousLongWithoutEqualSingleDash2()	87	99	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\test\java\org\apache\commons\cli\AbstractParserTestCase.java	testAmbiguousPartialLongOption1	org.apache.commons.cli.AbstractParserTestCase.testAmbiguousPartialLongOption1()	102	121	3
