File Directory	Function Name	Function Signature	Function Starting Line No	Function Ending Line No	Cyclomatic
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	hasOption	org.apache.commons.cli.CommandLine.hasOption(char)	416	418	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	hasOption	org.apache.commons.cli.CommandLine.hasOption(Option)	427	429	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	hasOption	org.apache.commons.cli.CommandLine.hasOption(String)	437	439	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	iterator	org.apache.commons.cli.CommandLine.iterator()	446	448	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	resolveOption	org.apache.commons.cli.CommandLine.resolveOption(String)	456	466	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLineParser.java	parse	org.apache.commons.cli.CommandLineParser.parse(Options, String[])	35	35	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLineParser.java	parse	org.apache.commons.cli.CommandLineParser.parse(Options, String[], boolean)	65	65	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	build	org.apache.commons.cli.Builder.build()	69	71	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	setAllowPartialMatching	org.apache.commons.cli.Builder.setAllowPartialMatching(boolean)	95	98	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	setStripLeadingAndTrailingQuotes	org.apache.commons.cli.Builder.setStripLeadingAndTrailingQuotes(Boolean)	115	118	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	builder	org.apache.commons.cli.DefaultParser.builder()	128	130	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	checkRequiredArgs	org.apache.commons.cli.DefaultParser.checkRequiredArgs()	229	233	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	checkRequiredOptions	org.apache.commons.cli.DefaultParser.checkRequiredOptions()	240	245	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	getLongPrefix	org.apache.commons.cli.DefaultParser.getLongPrefix(String)	252	266	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	getMatchingLongOptions	org.apache.commons.cli.DefaultParser.getMatchingLongOptions(String)	274	285	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	handleConcatenatedOptions	org.apache.commons.cli.DefaultParser.handleConcatenatedOptions(String)	307	323	9
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	handleLongOption	org.apache.commons.cli.DefaultParser.handleLongOption(String)	332	338	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	handleLongOptionWithEqual	org.apache.commons.cli.DefaultParser.handleLongOptionWithEqual(String)	347	371	10
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	handleLongOptionWithoutEqual	org.apache.commons.cli.DefaultParser.handleLongOptionWithoutEqual(String)	380	390	8
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	handleOption	org.apache.commons.cli.DefaultParser.handleOption(Option)	392	407	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	handleProperties	org.apache.commons.cli.DefaultParser.handleProperties(Properties)	414	448	17
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	handleShortAndLongOption	org.apache.commons.cli.DefaultParser.handleShortAndLongOption(String)	459	522	23
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	handleToken	org.apache.commons.cli.DefaultParser.handleToken(String)	530	550	16
