Caller	Callee
org.apache.commons.codec.language.Soundex.encode(Object)	org.apache.commons.codec.language.Soundex.soundex(String)
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqual()	org.apache.commons.codec.language.Metaphone.isMetaphoneEqual(String,String)
org.apache.commons.codec.StringEncoderAbstractTest.testEncodeNull()	org.apache.commons.codec.StringEncoder.encode(String)
org.apache.commons.codec.language.RefinedSoundex.encode(String)	org.apache.commons.codec.language.RefinedSoundex.soundex(String)
org.apache.commons.codec.base64.Base64Test.testEncodeDecodeRandom()	org.apache.commons.codec.base64.Base64.encode(byte[])
org.apache.commons.codec.binary.Base64Test.testBase64()	org.apache.commons.codec.binary.Base64.encodeBase64(byte[])
org.apache.commons.codec.binary.Base64Test.testDiscardingOfWhiteSpace()	org.apache.commons.codec.binary.Base64.encodeBase64(byte[])
org.apache.commons.codec.BinaryEncoderAbstractTest.testEncodeEmpty()	org.apache.commons.codec.BinaryEncoderAbstractTest.makeEncoder()
org.apache.commons.codec.binary.Base64Test.testEncodeDecodeSmall()	org.apache.commons.codec.binary.Base64.decodeBase64(byte[])
org.apache.commons.codec.binary.Base64Test.testEncodeDecodeRandom()	org.apache.commons.codec.binary.Base64.isArrayByteBase64(byte[])
org.apache.commons.codec.base64.Base64Test.testKnownDecodings()	org.apache.commons.codec.base64.Base64.decode(byte[])
org.apache.commons.codec.binary.Base64.decode(byte[])	org.apache.commons.codec.binary.Base64.decodeBase64(byte[])
org.apache.commons.codec.language.Soundex.soundex(String)	org.apache.commons.codec.language.Soundex.getMappingCode(char)
org.apache.commons.codec.binary.Base64Test.testTriplets()	org.apache.commons.codec.binary.Base64.encodeBase64(byte[])
org.apache.commons.codec.binary.Base64.isArrayByteBase64(byte[])	org.apache.commons.codec.binary.Base64.isBase64(byte)
org.apache.commons.codec.base64.Base64Test.testEncodeDecodeSmall()	org.apache.commons.codec.base64.Base64.isBase64(String)
org.apache.commons.codec.language.Soundex.encode(String)	org.apache.commons.codec.language.Soundex.soundex(String)
org.apache.commons.codec.binary.Base64Test.testIgnoringNonBase64InDecode()	org.apache.commons.codec.binary.Base64.decodeBase64(byte[])
org.apache.commons.codec.binary.Base64.encode(byte[])	org.apache.commons.codec.binary.Base64.encodeBase64(byte[],boolean)
org.apache.commons.codec.StringEncoderAbstractTest.testEncodeEmpty()	org.apache.commons.codec.Encoder.encode(Object)
org.apache.commons.codec.binary.HexTest.testEncodeDecodeRandom()	org.apache.commons.codec.binary.Hex.decodeHex(char[])
org.apache.commons.codec.base64.Base64.encode(String,String)	org.apache.commons.codec.base64.Base64.encode(byte[])
org.apache.commons.codec.base64.Base64.isBase64(byte[])	org.apache.commons.codec.base64.Base64.isBase64(byte)
org.apache.commons.codec.binary.Base64Test.testObjectEncodeWithValidParameter()	org.apache.commons.codec.binary.Base64.decodeBase64(byte[])
org.apache.commons.codec.language.MetaphoneTest.testMetaphone()	org.apache.commons.codec.language.Metaphone.metaphone(String)
org.apache.commons.codec.base64.Base64Test.testEncodeDecodeSmall()	org.apache.commons.codec.base64.Base64.encode(byte[])
org.apache.commons.codec.language.RefinedSoundex.soundex(String)	org.apache.commons.codec.language.RefinedSoundex.getMappingCode(char)
org.apache.commons.codec.base64.Base64Test.testTriplets()	org.apache.commons.codec.base64.Base64.encode(byte[])
org.apache.commons.codec.base64.Base64Test.testEncodeDecodeRandom()	org.apache.commons.codec.base64.Base64.decode(byte[])
